Datum,Zeitpunkt,Leitfähigkeit,Temperatur,pH,Redox,
03/04/21,13:21:39,61.6,57.8,12.49,-50,-2511
03/04/21,13:22:16,61.6,57.8,12.488,-49.4,-2510
03/04/21,13:22:39,61.5,57.9,12.488,-47.5,-2509
03/04/21,13:23:09,61.6,57.8,12.488,-49.9,-2508
03/04/21,13:23:39,61.5,57.9,12.484,-48.2,-2507
03/04/21,13:24:15,61.5,57.9,12.488,-49.2,-2506
03/04/21,13:24:40,61.5,57.9,12.486,-48.4,-2505
03/04/21,13:25:24,61.5,57.9,12.487,-47.6,-2504
03/04/21,13:25:53,61.4,58,12.487,-50,-2503
03/04/21,13:26:11,61.4,57.9,12.488,-50.5,-2502
03/04/21,13:26:41,61.4,58,12.485,-49.1,-2501
03/04/21,13:27:15,61.4,58,12.484,-48.4,-2500
03/04/21,13:27:41,61.4,58,12.484,-48,-2499
03/04/21,13:28:13,61.4,58,12.485,-48.8,-2498
03/04/21,13:28:49,61.4,58,12.485,-48.2,-2497
03/04/21,13:29:11,61.4,58,12.486,-45.7,-2496
03/04/21,13:29:42,61.3,58,12.485,-48.6,-2495
03/04/21,13:30:13,61.3,58,12.482,-46.9,-2494
03/04/21,13:30:44,61.3,58,12.481,-48.4,-2493
03/04/21,13:31:24,61.3,58.1,12.484,-46.5,-2492
03/04/21,13:31:44,61.3,58.1,12.483,-45.4,-2491
03/04/21,13:32:22,61.3,58.1,12.483,-46.1,-2490
03/04/21,13:32:47,61.2,58.1,12.483,-45.1,-2489
03/04/21,13:33:20,61.2,58.1,12.479,-48,-2488
03/04/21,13:33:57,61.2,58.1,12.478,-46.8,-2487
03/04/21,13:34:18,61.2,58.1,12.48,-46.1,-2486
03/04/21,13:34:56,61.2,58.1,12.477,-45.8,-2485
03/04/21,13:35:15,61.2,58.2,12.48,-45.4,-2484
03/04/21,13:36:06,61.2,58.2,12.481,-44.2,-2483
03/04/21,13:36:15,61.2,58.2,12.482,-46.1,-2482
03/04/21,13:36:51,61.2,58.2,12.479,-46.4,-2481
03/04/21,13:37:19,61.1,58.2,12.478,-46.3,-2480
03/04/21,13:37:46,61.1,58.2,12.477,-46.2,-2479
03/04/21,13:38:16,61.1,58.2,12.479,-46.3,-2478
03/04/21,13:38:52,61.1,58.2,12.478,-45.7,-2477
03/04/21,13:39:16,61.1,58.2,12.478,-46.3,-2476
03/04/21,13:39:56,61.1,58.2,12.478,-46.3,-2475
03/04/21,13:40:20,61.1,58.3,12.479,-45.5,-2474
03/04/21,13:40:59,61.1,58.3,12.475,-46,-2473
03/04/21,13:41:17,61.1,58.3,12.477,-46.6,-2472
03/04/21,13:41:47,61.1,58.3,12.475,-46.6,-2471
03/04/21,13:42:17,61,58.3,12.475,-45.5,-2470
03/04/21,13:42:47,61,58.3,12.478,-45.5,-2469
03/04/21,13:43:17,61,58.3,12.479,-46.3,-2468
03/04/21,13:43:48,61,58.3,12.479,-45.5,-2467
03/04/21,13:44:20,61,58.3,12.477,-47.6,-2466
03/04/21,13:44:52,60.9,58.4,12.473,-45.2,-2465
03/04/21,13:45:31,61,58.3,12.475,-47.2,-2464
03/04/21,13:46:10,60.9,58.3,12.47,-46.8,-2463
03/04/21,13:46:35,60.9,58.4,12.474,-45.8,-2462
03/04/21,13:46:56,60.9,58.4,12.471,-45.7,-2461
03/04/21,13:47:19,60.9,58.4,12.475,-44.7,-2460
03/04/21,13:47:49,60.9,58.4,12.473,-45.8,-2459
03/04/21,13:48:19,60.9,58.4,12.475,-45.5,-2458
03/04/21,13:48:49,60.9,58.4,12.474,-46.5,-2457
03/04/21,13:49:20,60.9,58.4,12.467,-46.3,-2456
03/04/21,13:50:07,60.9,58.4,12.472,-45.6,-2455
03/04/21,13:50:22,60.8,58.5,12.469,-46.6,-2454
03/04/21,13:50:50,60.8,58.5,12.469,-47.6,-2453
03/04/21,13:51:21,60.8,58.5,12.471,-43.9,-2452
03/04/21,13:51:50,60.8,58.5,12.472,-46.5,-2451
03/04/21,13:52:29,60.8,58.5,12.468,-45.1,-2450
03/04/21,13:52:50,60.8,58.5,12.473,-46.5,-2449
03/04/21,13:53:23,60.7,58.5,12.47,-45.1,-2448
03/04/21,13:53:55,60.8,58.5,12.473,-45.8,-2447
03/04/21,13:54:21,60.8,58.5,12.471,-46.6,-2446
03/04/21,13:54:51,60.7,58.5,12.47,-47.3,-2445
03/04/21,13:55:22,60.7,58.5,12.473,-46.8,-2444
03/04/21,13:55:56,60.7,58.5,12.473,-43.6,-2443
03/04/21,13:56:52,60.7,58.6,12.474,-46,-2442
03/04/21,13:56:54,60.7,58.6,12.474,-46.4,-2441
03/04/21,13:57:26,60.7,58.5,12.471,-47.6,-2440
03/04/21,13:57:54,60.7,58.5,12.471,-43.8,-2439
03/04/21,13:58:36,60.7,58.6,12.469,-46.3,-2438
03/04/21,13:59:02,60.7,58.6,12.469,-44.9,-2437
03/04/21,13:59:33,60.7,58.6,12.472,-46.6,-2436
03/04/21,13:59:56,60.7,58.5,12.469,-46.7,-2435
03/04/21,14:00:26,60.7,58.6,12.469,-45.5,-2434
03/04/21,14:00:57,60.6,58.6,12.471,-44.9,-2433
03/04/21,14:01:32,60.6,58.6,12.471,-46,-2432
03/04/21,14:01:58,60.6,58.6,12.469,-47,-2431
03/04/21,14:02:35,60.6,58.6,12.471,-46.2,-2430
03/04/21,14:02:58,60.6,58.6,12.465,-46.1,-2429
03/04/21,14:03:37,60.6,58.6,12.471,-46,-2428
03/04/21,14:04:00,60.6,58.6,12.468,-45.8,-2427
03/04/21,14:04:35,60.6,58.6,12.465,-46.4,-2426
03/04/21,14:05:02,60.6,58.6,12.468,-46.3,-2425
03/04/21,14:05:36,60.5,58.6,12.469,-46.9,-2424
03/04/21,14:06:01,60.5,58.7,12.466,-45.1,-2423
03/04/21,14:06:38,60.6,58.7,12.466,-45.5,-2422
03/04/21,14:07:27,60.5,58.7,12.465,-43.6,-2421
03/04/21,14:07:40,60.5,58.7,12.467,-42.2,-2420
03/04/21,14:08:00,60.5,58.7,12.466,-44,-2419
03/04/21,14:08:31,60.6,58.7,12.467,-43.5,-2418
03/04/21,14:09:14,60.5,58.7,12.468,-43.6,-2417
03/04/21,14:09:35,60.5,58.7,12.467,-45.3,-2416
03/04/21,14:10:03,60.5,58.7,12.466,-44.8,-2415
03/04/21,14:10:36,60.5,58.7,12.467,-46.1,-2414
03/04/21,14:11:14,60.5,58.7,12.466,-46.1,-2413
03/04/21,14:11:38,60.5,58.7,12.463,-45.4,-2412
03/04/21,14:12:03,60.5,58.7,12.467,-45.1,-2411
03/04/21,14:12:44,60.5,58.7,12.468,-44.8,-2410
03/04/21,14:13:15,60.5,58.7,12.465,-44.6,-2409
03/04/21,14:13:39,60.4,58.8,12.467,-45.2,-2408
03/04/21,14:14:05,60.4,58.8,12.466,-45.8,-2407
03/04/21,14:14:35,60.4,58.7,12.466,-46.1,-2406
03/04/21,14:15:13,60.4,58.8,12.465,-44.8,-2405
03/04/21,14:15:40,60.4,58.7,12.467,-44.9,-2404
03/04/21,14:16:06,60.4,58.7,12.467,-43.4,-2403
03/04/21,14:16:39,60.4,58.7,12.463,-42.6,-2402
03/04/21,14:17:30,60.4,58.8,12.46,-42.1,-2401
03/04/21,14:17:37,60.4,58.8,12.46,-42.9,-2400
03/04/21,14:18:08,60.4,58.8,12.467,-45.2,-2399
03/04/21,14:18:39,60.3,58.8,12.463,-45.1,-2398
03/04/21,14:19:16,60.4,58.8,12.465,-45.1,-2397
03/04/21,14:19:37,60.4,58.8,12.46,-45.5,-2396
03/04/21,14:20:18,60.3,58.8,12.459,-46,-2395
03/04/21,14:20:37,60.3,58.8,12.464,-45.5,-2394
03/04/21,14:21:16,60.3,58.8,12.466,-45.4,-2393
03/04/21,14:21:39,60.3,58.8,12.467,-45.2,-2392
03/04/21,14:22:35,60.3,58.8,12.465,-45.5,-2391
03/04/21,14:22:43,60.3,58.8,12.465,-45.5,-2390
03/04/21,14:23:09,60.3,58.8,12.465,-44.8,-2389
03/04/21,14:23:55,60.3,58.8,12.465,-44.4,-2388
03/04/21,14:24:10,60.3,58.8,12.467,-44.8,-2387
03/04/21,14:24:41,60.3,58.8,12.461,-45.3,-2386
03/04/21,14:25:18,60.3,58.8,12.462,-44.9,-2385
03/04/21,14:25:50,60.3,58.8,12.464,-46,-2384
03/04/21,14:26:31,60.3,58.9,12.463,-44.7,-2383
03/04/21,14:26:50,60.3,58.8,12.462,-45,-2382
03/04/21,14:27:11,60.3,58.8,12.461,-43.6,-2381
03/04/21,14:27:41,60.3,58.8,12.462,-44.3,-2380
03/04/21,14:28:11,60.3,58.8,12.466,-45.6,-2379
03/04/21,14:28:42,60.2,58.9,12.461,-44.5,-2378
03/04/21,14:29:11,60.2,58.9,12.465,-44.5,-2377
03/04/21,14:29:42,60.3,58.8,12.465,-44.5,-2376
03/04/21,14:30:29,60.3,58.8,12.466,-44.7,-2375
03/04/21,14:31:15,60.2,58.9,12.465,-44.5,-2374
03/04/21,14:31:17,60.2,58.9,12.465,-44.4,-2373
03/04/21,14:31:49,60.3,58.8,12.467,-45.2,-2372
03/04/21,14:32:18,60.2,58.9,12.462,-42.6,-2371
03/04/21,14:32:55,60.3,58.9,12.463,-43.7,-2370
03/04/21,14:33:21,60.3,58.9,12.461,-44.6,-2369
03/04/21,14:33:49,60.3,58.9,12.466,-44.7,-2368
03/04/21,14:34:19,60.3,58.9,12.464,-45,-2367
03/04/21,14:34:53,60.2,58.9,12.465,-44.4,-2366
03/04/21,14:35:34,60.2,58.9,12.463,-44.3,-2365
03/04/21,14:35:52,60.2,58.9,12.465,-44.6,-2364
03/04/21,14:36:18,60.2,58.9,12.463,-45.1,-2363
03/04/21,14:37:05,60.2,58.8,12.465,-43.9,-2362
03/04/21,14:37:20,60.2,58.9,12.465,-43.6,-2361
03/04/21,14:37:53,60.2,58.9,12.465,-43.9,-2360
03/04/21,14:38:22,60.2,58.9,12.462,-42,-2359
03/04/21,14:38:53,60.2,58.9,12.464,-44,-2358
03/04/21,14:39:20,60.2,58.9,12.461,-44.9,-2357
03/04/21,14:39:55,60.2,58.9,12.461,-44,-2356
03/04/21,14:40:28,60.1,58.9,12.463,-44.5,-2355
03/04/21,14:40:53,60.1,58.9,12.465,-43,-2354
03/04/21,14:41:33,60.1,58.9,12.463,-43.7,-2353
03/04/21,14:41:51,60.1,58.9,12.461,-44.5,-2352
03/04/21,14:42:23,60.1,58.9,12.46,-43,-2351
03/04/21,14:42:55,60.1,58.9,12.461,-43.8,-2350
03/04/21,14:43:33,60.1,58.9,12.464,-42.6,-2349
03/04/21,14:44:08,60.1,58.9,12.465,-43.3,-2348
03/04/21,14:44:23,60.1,58.9,12.463,-42.4,-2347
03/04/21,14:44:54,60.1,58.9,12.465,-44.2,-2346
03/04/21,14:45:39,60.1,58.9,12.462,-43.9,-2345
03/04/21,14:45:55,60,59,12.461,-44.5,-2344
03/04/21,14:46:25,60,58.9,12.462,-43.9,-2343
03/04/21,14:46:59,60,59,12.462,-43.7,-2342
03/04/21,14:47:25,60.1,58.9,12.465,-44.2,-2341
03/04/21,14:47:59,60,58.9,12.463,-44.1,-2340
03/04/21,14:48:25,60,58.9,12.462,-42.7,-2339
03/04/21,14:48:57,60,58.9,12.461,-43.9,-2338
03/04/21,14:49:27,60,58.9,12.462,-44,-2337
03/04/21,14:49:56,60,59,12.465,-43.8,-2336
03/04/21,14:50:27,60,59,12.463,-42.7,-2335
03/04/21,14:50:59,60,59,12.465,-44.6,-2334
03/04/21,14:51:28,60.1,58.9,12.462,-43.3,-2333
03/04/21,14:51:59,60,59,12.46,-43.9,-2332
03/04/21,14:52:30,60.1,59,12.463,-43.9,-2331
03/04/21,14:53:01,60,59,12.463,-43.4,-2330
03/04/21,14:53:34,60,59,12.461,-43.7,-2329
03/04/21,14:54:02,60,59,12.458,-41.1,-2328
03/04/21,14:54:33,60,59,12.462,-43.5,-2327
